dataset,method,replication,precision,recall,f1,specificity,n_selected,n_true,runtime
LLD,QMI-CFS-Classic,34,0.5,1.0,0.6666666666666666,0.75,8,4,0.38956820001476444
LLD,MI,34,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09406919998582453
LLD,CMI,34,0.6,0.75,0.6666666666666665,0.875,5,4,0.0627295000012964
LLD,LASSO,34,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.38576090001151897
LLD,Boruta,34,1.0,0.75,0.8571428571428571,1.0,3,4,18.150023299996974
LLD,RF,34,1.0,0.5,0.6666666666666666,1.0,2,4,1.19850860000588
LLD,QMI-CFS,35,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7758055000158492
LLD,QMI-CFS-Classic,35,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.3919332000077702
LLD,MI,35,0.8,1.0,0.888888888888889,0.9375,5,4,0.09320760000264272
LLD,CMI,35,0.8,1.0,0.888888888888889,0.9375,5,4,0.05945699999574572
LLD,LASSO,35,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.4188232999877073
LLD,Boruta,35,1.0,1.0,1.0,1.0,4,4,27.024021100020036
LLD,RF,35,1.0,0.5,0.6666666666666666,1.0,2,4,1.1933052000240423
LLD,QMI-CFS,36,0.5,1.0,0.6666666666666666,0.75,8,4,0.7575457000057213
LLD,QMI-CFS-Classic,36,0.5,1.0,0.6666666666666666,0.75,8,4,0.400311800010968
LLD,MI,36,0.8,1.0,0.888888888888889,0.9375,5,4,0.11677079999935813
LLD,CMI,36,0.4,0.5,0.4444444444444445,0.8125,5,4,0.07794039999134839
LLD,LASSO,36,0.2222222222222222,1.0,0.3636363636363636,0.125,18,4,0.38719000000855885
LLD,Boruta,36,1.0,0.75,0.8571428571428571,1.0,3,4,14.35993890001555
LLD,RF,36,1.0,0.5,0.6666666666666666,1.0,2,4,1.2014910999860149
LLD,QMI-CFS,37,0.3333333333333333,0.75,0.46153846153846156,0.625,9,4,0.7495439999911468
LLD,QMI-CFS-Classic,37,0.3333333333333333,0.75,0.46153846153846156,0.625,9,4,0.3831075000052806
LLD,MI,37,0.6,0.75,0.6666666666666665,0.875,5,4,0.11832549999235198
LLD,CMI,37,0.4,0.5,0.4444444444444445,0.8125,5,4,0.07394790000398643
LLD,LASSO,37,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3976633000129368
LLD,Boruta,37,1.0,1.0,1.0,1.0,4,4,25.74326230000588
LLD,RF,37,1.0,0.5,0.6666666666666666,1.0,2,4,1.2131736000010278
LLD,QMI-CFS,38,0.5,1.0,0.6666666666666666,0.75,8,4,0.766958300024271
LLD,QMI-CFS-Classic,38,0.5,1.0,0.6666666666666666,0.75,8,4,0.4046354999882169
LLD,MI,38,0.4,0.5,0.4444444444444445,0.8125,5,4,0.10564620001241565
LLD,CMI,38,0.8,1.0,0.888888888888889,0.9375,5,4,0.06674370000837371
LLD,LASSO,38,0.2,1.0,0.33333333333333337,0.0,20,4,0.41003070000442676
LLD,Boruta,38,0.8,1.0,0.888888888888889,0.9375,5,4,27.577277599979425
LLD,RF,38,1.0,0.5,0.6666666666666666,1.0,2,4,1.2928333999880124
LLD,QMI-CFS,39,0.4,1.0,0.5714285714285715,0.625,10,4,0.7664487999863923
LLD,QMI-CFS-Classic,39,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.409319600003073
LLD,MI,39,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09259400001610629
LLD,CMI,39,0.4,0.5,0.4444444444444445,0.8125,5,4,0.0586893999716267
LLD,LASSO,39,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.38201490000938065
LLD,Boruta,39,1.0,1.0,1.0,1.0,4,4,26.96309969999129
LLD,RF,39,1.0,0.5,0.6666666666666666,1.0,2,4,1.2268171000177972
LLD,QMI-CFS,40,0.4,1.0,0.5714285714285715,0.625,10,4,0.7794854999810923
LLD,QMI-CFS-Classic,40,0.4,1.0,0.5714285714285715,0.625,10,4,0.4001785000145901
LLD,MI,40,0.4,0.5,0.4444444444444445,0.8125,5,4,0.09878000000026077
LLD,CMI,40,0.6,0.75,0.6666666666666665,0.875,5,4,0.06298509999760427
LLD,LASSO,40,0.21052631578947367,1.0,0.34782608695652173,0.0625,19,4,0.3679017999966163
LLD,Boruta,40,1.0,0.75,0.8571428571428571,1.0,3,4,26.613301799981855
LLD,RF,40,1.0,0.5,0.6666666666666666,1.0,2,4,1.2170165000134148
LLD,QMI-CFS,41,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,0.7762058000080287
LLD,QMI-CFS-Classic,41,0.42857142857142855,0.75,0.5454545454545454,0.75,7,4,0.3919029000098817
LLD,MI,41,0.6,0.75,0.6666666666666665,0.875,5,4,0.09879629997885786
LLD,CMI,41,0.4,0.5,0.4444444444444445,0.8125,5,4,0.05955159998848103
LLD,LASSO,41,0.2,1.0,0.33333333333333337,0.0,20,4,0.3707919000007678
LLD,Boruta,41,0.8,1.0,0.888888888888889,0.9375,5,4,26.404332100006286
LLD,RF,41,1.0,0.5,0.6666666666666666,1.0,2,4,1.18305789999431
LLD,QMI-CFS,42,0.4444444444444444,1.0,0.6153846153846153,0.6875,9,4,0.7795640000258572
LLD,QMI-CFS-Classic,42,0.5,1.0,0.6666666666666666,0.75,8,4,0.39822560001630336
