dataset,method,seed,ate_error,pehe,relative_ate_error,runtime
NLC,All-Features,0,0.09593155925173069,1.0901481220971203,6.39543728302235,0.015951600013067946
NLC,QMI-CFS,1,0.3642343334009619,0.9548760786527165,24.28228889177864,1.8010860999929719
NLC,MI,1,0.23949275779089607,0.9824015774322246,15.966183851661992,0.2259323000034783
NLC,CMI,1,0.250570540586895,0.8379883363486439,16.704702704679352,0.1563536000030581
NLC,LASSO,1,0.180918600580531,1.114674116782137,12.061240037897985,0.8798793999885675
NLC,Boruta,1,0.23775477765354314,0.8839877633595911,15.85031850917952,35.526641300006304
NLC,RF,1,0.23775477765354314,0.8839877633595911,15.85031850917952,2.7461580999952275
NLC,All-Features,1,0.2382891854177187,1.3771755392086746,15.885945693455517,0.012798199983080849
NLC,QMI-CFS,2,0.25550574150032346,0.5327834280886958,17.033716098885982,1.7895808999892324
NLC,MI,2,0.0565988311173935,0.546176400984772,3.7732554075746827,0.22591639999882318
NLC,CMI,2,0.06069239713652186,0.42742565425325535,4.046159808831713,0.15952610000385903
NLC,LASSO,2,0.12003173608898177,0.9647941890648768,8.002115738731977,0.8846063999808393
NLC,Boruta,2,0.10281505927818935,0.34145068007277474,6.854337284755667,44.38578820001567
NLC,RF,2,0.10281505927818935,0.34145068007277474,6.854337284755667,2.740431799989892
NLC,All-Features,2,0.14139793655141708,1.0512892049127085,9.426529102799371,0.01316850000876002
NLC,QMI-CFS,3,0.5362304630268697,1.2702343193144856,35.7486975327414,1.7825527000240982
NLC,MI,3,0.2082509062724991,1.3291314495583277,13.88339375057438,0.2244143999996595
NLC,CMI,3,0.24107940325962285,1.2926108029557895,16.071960216236725,0.15632490001735277
NLC,LASSO,3,0.5723003223088521,1.435662221758291,38.15335481804658,0.8703231000108644
NLC,Boruta,3,0.3353135998024055,1.1194025109013481,22.35423998533675,36.095134499977576
NLC,RF,3,0.2281104988410103,1.140998075298098,15.207366588386865,2.7795134000189137
NLC,All-Features,3,0.5688940861279567,1.5637490905293272,37.92627240600203,0.012420900020515546
NLC,QMI-CFS,4,0.04887201554197396,1.3464248113875337,3.2581343692477214,1.7967674999963492
NLC,MI,4,0.09804242124837947,1.3175007947709931,6.536161416122887,0.22498710002400912
NLC,CMI,4,0.1964783377247632,1.2505441633263645,13.09855584744431,0.15821619998314418
NLC,LASSO,4,0.1379120875182953,1.4725440062704689,9.194139167273411,0.8625760999857448
NLC,Boruta,4,0.044264203011610714,1.2849878410176427,2.9509468672439843,49.97820189999766
NLC,RF,4,0.044264203011610714,1.2849878410176427,2.9509468672439843,2.802333500003442
NLC,All-Features,4,0.13792518623142347,1.5076422561817218,9.195012414815231,0.012504600017564371
NLC,QMI-CFS,5,0.3139866094553514,0.7047694016807124,20.932440628961263,1.8011794000049122
NLC,MI,5,0.17051460509780236,0.6508563429668303,11.367640339095649,0.22548560000723228
NLC,CMI,5,0.08622798707856205,0.51301122800478,5.748532471520901,0.15675470000132918
NLC,LASSO,5,0.14571497408253276,1.071633308744249,9.714331604854562,0.8811464000027627
NLC,Boruta,5,0.1682834301263152,0.6385959610286912,11.21889534100642,35.237466399994446
NLC,RF,5,0.17346472355122766,0.5393873642066307,11.564314902644222,2.7929433999815956
NLC,All-Features,5,0.14718924982570036,1.0764608848437212,9.812616654392517,0.014000399998622015
NLC,QMI-CFS,6,0.06296157852025508,0.9735397927204013,4.1974385677371755,1.7802337000030093
NLC,MI,6,0.15356295933475295,0.9841085390137563,10.237530621634361,0.22254659997997805
NLC,CMI,6,0.17745079917309758,0.9577941634973718,11.830053277417836,0.15482940000947565
NLC,LASSO,6,0.17095474732287763,1.032210436229951,11.39698315409871,0.9097149999870453
NLC,Boruta,6,0.14234354765174118,0.9424356817921662,9.489569842816774,45.05077290002373
NLC,RF,6,0.19828706950096286,0.9655251669937631,13.219137965849582,2.7640672999841627
NLC,All-Features,6,0.17095474732287763,1.032210436229951,11.39698315409871,0.017368000000715256
NLC,QMI-CFS,7,0.181762493340337,1.6371690726820414,12.117499555214634,1.7801991000014823
NLC,MI,7,0.11572874229018648,1.4312772336934072,7.715249485498083,0.2276840999838896
NLC,CMI,7,0.24167056265489695,1.4673541574707203,16.111370842585703,0.15805189998354763
NLC,LASSO,7,0.2751001926003913,1.639817709625407,18.34001283880342,0.9043850000016391
NLC,Boruta,7,0.18457483005622355,1.4321778145370327,12.30498866959457,49.5444439999992
NLC,RF,7,0.18457483005622355,1.4321778145370327,12.30498866959457,2.7801083000085782
NLC,All-Features,7,0.2933261345423097,1.7427267043908603,19.555075634850308,0.01813789998413995
NLC,QMI-CFS,8,0.277964761967356,1.1235931445578187,18.530984129921666,1.7983856000064407
NLC,MI,8,0.2181288563846142,0.4153052528758391,14.541923758004819,0.2257300000055693
NLC,CMI,8,0.183266111674117,0.9568281009485039,12.21774077745995,0.15616819998831488
NLC,LASSO,8,0.14352839067308687,1.3645109426242814,9.568559377567887,0.8834275999979582
NLC,Boruta,8,0.21857051441532582,0.8823481843245923,14.571367626716963,54.90436419998878
NLC,RF,8,0.21857051441532582,0.8823481843245923,14.571367626716963,2.8182155000104103
NLC,All-Features,8,0.14352839067308687,1.3645109426242814,9.568559377567887,0.014994500001193956
NLC,QMI-CFS,9,0.03947148005759482,0.8767930384838641,2.631432003664226,1.779831899999408
NLC,MI,9,0.12440792985746496,0.8468537205955338,8.29386198994474,0.22412319999421015
NLC,CMI,9,0.17225004642503428,0.8463003139974765,11.483336427570062,0.1617497999977786
NLC,LASSO,9,0.11006000956945305,0.993871571468592,7.337333970807715,0.8725696999754291
NLC,Boruta,9,0.18588331312105377,0.6999855729926983,12.39222087391077,10.032533599995077
NLC,RF,9,0.18588331312105377,0.6999855729926983,12.39222087391077,2.737595299986424
NLC,All-Features,9,0.1053439466598256,1.0253200109219984,7.022929776853512,0.0137078000116162
NLC,QMI-CFS,10,0.035416917438025,1.4607115075384958,2.361127829044258,1.7864775999914855
NLC,MI,10,0.13169203264480167,0.9409963930171091,8.77946884240148,0.22377879999112338
NLC,CMI,10,0.057517307003403406,1.4555801938959205,3.8344871333045947,0.1548631000041496
NLC,LASSO,10,0.04438339275641101,1.6837663660138784,2.9588928502301415,0.8797167000011541
NLC,Boruta,10,0.05735677519265292,1.4419145937823135,3.823785012588609,55.50819110000157
NLC,RF,10,0.05735677519265292,1.4419145937823135,3.823785012588609,2.8759601000056136
NLC,All-Features,10,0.028407007044552346,1.7202509399406325,1.8938004695105697,0.014382600027602166
NLC,QMI-CFS,11,0.11417438752868425,0.9599302404283718,7.6116258347381756,1.7817380000196863
NLC,MI,11,0.0011746380145971624,0.3203518796208636,0.07830920096792354,0.22606049999012612
NLC,CMI,11,0.0441485940652282,0.9040659997726224,2.9432396041523305,0.15748640001402237
NLC,LASSO,11,0.003014937597515699,1.186402669596314,0.2009958398209802,0.9050516999850515
NLC,Boruta,11,0.04856433010883121,0.8438306545920149,3.237622007039573,50.20557699998608
NLC,RF,11,0.05703338961944793,0.8499548025710694,3.8022259743763804,2.811562600021716
NLC,All-Features,11,0.003014937597515699,1.186402669596314,0.2009958398209802,0.01256260002264753
NLC,QMI-CFS,12,0.07931750970579632,1.34479664211694,5.2878339800338985,1.7878120000241324
NLC,MI,12,0.16587658620544654,1.3279629439783756,11.058439079625874,0.22402929997770116
NLC,CMI,12,0.19852563408007273,1.1185737975261816,13.235042271122513,0.15538249997189268
NLC,LASSO,12,0.1930899654332947,1.4560166117601498,12.872664361361469,0.8977387999766506
NLC,Boruta,12,0.11476911980410254,1.3112460832435122,7.651274653096751,51.99903839995386
NLC,RF,12,0.11476911980410254,1.3112460832435122,7.651274653096751,2.74949800001923
NLC,All-Features,12,0.2057628908498914,1.5849032770902112,13.717526055744925,0.01330619998043403
NLC,QMI-CFS,13,0.6392832166784159,1.0713398630972468,42.618881109053135,1.8012584000243805
NLC,MI,13,0.5123589813439482,0.9119537832965606,34.15726542065273,0.2227699999930337
